Typ_komórki,Porównanie,Jaccard,Zmienność
Tcm/Naive helper T cells,Stim (1G vs uG),0.9074583981802945,0.0925416018197055
Tcm/Naive helper T cells,Unstim (1G vs uG),0.9412098513222109,0.05879014867778909
Regulatory T cells,Stim (1G vs uG),0.8874043622245061,0.11259563777549386
Regulatory T cells,Unstim (1G vs uG),0.9072043010752688,0.09279569892473116
Age-associated B cells,Stim (1G vs uG),0.9270022085319075,0.07299779146809249
Age-associated B cells,Unstim (1G vs uG),0.8302532511978097,0.16974674880219032
Intermediate macrophages,Stim (1G vs uG),0.9135419154525913,0.08645808454740866
Intermediate macrophages,Unstim (1G vs uG),0.7949003339067084,0.20509966609329155
Tem/Effector helper T cells,Stim (1G vs uG),0.9011279926335175,0.0988720073664825
Tem/Effector helper T cells,Unstim (1G vs uG),0.9376511985924786,0.062348801407521415
Tcm/Naive cytotoxic T cells,Stim (1G vs uG),0.9033081834010447,0.09669181659895532
Tcm/Naive cytotoxic T cells,Unstim (1G vs uG),0.9363887355052457,0.0636112644947543
MAIT cells,Stim (1G vs uG),0.9073710923982005,0.09262890760179954
MAIT cells,Unstim (1G vs uG),0.9314796425024826,0.06852035749751739
Naive B cells,Stim (1G vs uG),0.8265200961868774,0.17347990381312262
Naive B cells,Unstim (1G vs uG),0.9188084740294655,0.08119152597053447
Tem/Trm cytotoxic T cells,Stim (1G vs uG),0.9020754500630661,0.09792454993693389
Tem/Trm cytotoxic T cells,Unstim (1G vs uG),0.9107608695652174,0.0892391304347826
Tem/Temra cytotoxic T cells,Stim (1G vs uG),0.9190404797601199,0.08095952023988007
Tem/Temra cytotoxic T cells,Unstim (1G vs uG),0.9501098901098901,0.04989010989010989
CRTAM+ gamma-delta T cells,Stim (1G vs uG),0.7903243420334171,0.20967565796658294
CRTAM+ gamma-delta T cells,Unstim (1G vs uG),0.8329845123482629,0.16701548765173713
CD16- NK cells,Stim (1G vs uG),0.8443480195816644,0.1556519804183356
CD16- NK cells,Unstim (1G vs uG),0.874768280123584,0.12523171987641601
Macrophages,Stim (1G vs uG),0.6450519656574786,0.3549480343425214
Macrophages,Unstim (1G vs uG),0.6694133804198548,0.33058661958014524
Non-classical monocytes,Stim (1G vs uG),0.7368848653667596,0.26311513463324043
Non-classical monocytes,Unstim (1G vs uG),0.7941941525335553,0.2058058474664447
Memory B cells,Stim (1G vs uG),0.6930469191633691,0.30695308083663086
Memory B cells,Unstim (1G vs uG),0.8983850671140939,0.10161493288590606
NK cells,Stim (1G vs uG),0.6478497880072683,0.35215021199273167
NK cells,Unstim (1G vs uG),0.6790058170280275,0.32099418297197246
CD16+ NK cells,Stim (1G vs uG),0.8918856615952052,0.10811433840479479
CD16+ NK cells,Unstim (1G vs uG),0.9388524060716977,0.06114759392830227
Migratory DCs,Stim (1G vs uG),0.7336601307189542,0.2663398692810458
Migratory DCs,Unstim (1G vs uG),0.7074539972970163,0.2925460027029837
ILC3,Stim (1G vs uG),0.7491158503911692,0.25088414960883076
ILC3,Unstim (1G vs uG),0.7329662766689607,0.26703372333103925
Alveolar macrophages,Stim (1G vs uG),0.6371628846382321,0.3628371153617679
Alveolar macrophages,Unstim (1G vs uG),0.8351949420442571,0.16480505795574285
Mast cells,Stim (1G vs uG),0.49246349505416864,0.5075365049458314
Mast cells,Unstim (1G vs uG),0.47437647350787937,0.5256235264921206
Treg(diff),Stim (1G vs uG),0.5314638250140213,0.46853617498597866
Treg(diff),Unstim (1G vs uG),0.43507109004739336,0.5649289099526067
CD8a/a,Unstim (1G vs uG),0.49603661940381827,0.5039633805961817
Type 1 helper T cells,Stim (1G vs uG),0.5084438399637311,0.4915561600362689
Type 1 helper T cells,Unstim (1G vs uG),0.5773460019216398,0.42265399807836024
Type 17 helper T cells,Stim (1G vs uG),0.6692066337965038,0.3307933662034962
Type 17 helper T cells,Unstim (1G vs uG),0.5404702455264253,0.4595297544735747
Double-negative thymocytes,Stim (1G vs uG),0.4302772986599443,0.5697227013400556
Erythrophagocytic macrophages,Stim (1G vs uG),0.4630191166776533,0.5369808833223467
Erythrophagocytic macrophages,Unstim (1G vs uG),0.6594063634422379,0.3405936365577621
Classical monocytes,Stim (1G vs uG),0.45947508382471963,0.5405249161752803
Classical monocytes,Unstim (1G vs uG),0.8832863555694749,0.11671364443052512
Plasma cells,Stim (1G vs uG),0.6035561409285479,0.3964438590714521
Plasma cells,Unstim (1G vs uG),0.4886391399951136,0.5113608600048865
DC2,Unstim (1G vs uG),0.7915709577549186,0.2084290422450814
Double-positive thymocytes,Stim (1G vs uG),0.2619007569386039,0.7380992430613962
Trm cytotoxic T cells,Stim (1G vs uG),0.3765432098765432,0.6234567901234568
Trm cytotoxic T cells,Unstim (1G vs uG),0.4866809036753962,0.5133190963246038
Monocytes,Stim (1G vs uG),0.5460115329168669,0.4539884670831331
Monocytes,Unstim (1G vs uG),0.6611332007952286,0.33886679920477136
Megakaryocytes/platelets,Stim (1G vs uG),0.26159387663214767,0.7384061233678523
Myelocytes,Unstim (1G vs uG),0.3250435215120617,0.6749564784879383
pDC,Stim (1G vs uG),0.6420372335294685,0.3579627664705315
pDC,Unstim (1G vs uG),0.7006187529747739,0.29938124702522606
Mono-mac,Unstim (1G vs uG),0.5651237890204521,0.4348762109795479
Intestinal macrophages,Unstim (1G vs uG),0.7113933721707574,0.2886066278292426
HSC/MPP,Unstim (1G vs uG),0.593361782835467,0.40663821716453297
